index,distribution
eQ91p0tvNP0-8,"[0.054253971624317235, 0.023617612652265238, 0.049578746906175516, 0.01705700725287354, 0.06408698316741278, 0.1237330282002777, 0.08564978314306118, 0.14704809750183478, 0.05080611393395157, 0.3841686556178315]"
eQ91p0tvNP0-9,"[0.08344116189445061, 0.060597420132023475, 0.04133811654480597, 0.048971562439279734, 0.08403749483385034, 0.08121182909609505, 0.17113562898468265, 0.09265078756180357, 0.07544021003375632, 0.2611757884792524]"
eQ91p0tvNP0-10,"[0.0687402070300296, 0.0013893056233308144, 0.1386648878308414, 0.0012551558230381845, 0.046635053359787265, 0.06202285806667379, 0.23517375568404905, 0.09651823619172442, 0.02021325946866917, 0.32938728092185626]"
eQ91p0tvNP0-11,"[5.0502551418997776e-05, 0.04299739385259946, 0.23839744138026644, 0.14188983240088737, 0.1199724138842649, 0.05336883061301326, 0.00010095467035296865, 0.24157855453090402, 0.16163275568472923, 1.1320431563466002e-05]"
eQ91p0tvNP0-12,"[0.029976997378478226, 0.01699169416719329, 0.03598121906536448, 0.025203393729593467, 1.1100261035801533e-05, 0.22996249951082653, 0.06348214849591725, 0.28874043654866166, 0.09378588242932585, 0.21586462841360396]"
eQ91p0tvNP0-13,"[0.15574241667092886, 0.025613279418643137, 0.19122280994457735, 0.03083739891449514, 0.011574052333906727, 0.1439964448116322, 0.1901546510599299, 0.05993885484790798, 0.11883767445369905, 0.07208241754427963]"
eQ91p0tvNP0-14,"[0.00782073693664707, 0.07521344909881511, 0.1002221530035867, 0.10852990390163056, 0.15285401894382092, 0.11270187808694448, 0.16508542445049368, 0.07562075152270735, 0.11376993945447664, 0.08818174460087808]"
eQ91p0tvNP0-15,"[0.09689985261727965, 0.016196226745259782, 5.023812256827932e-05, 0.19375212855623675, 0.005650956325164085, 0.16677872098525728, 0.1737935318646723, 0.22884043487825442, 0.07330335030841567, 0.044734559596892]"
eQ91p0tvNP0-16,"[0.03976378982489442, 0.050735437573216656, 0.050153593947952976, 0.0767827390220262, 0.06450523760775395, 0.07407094889975387, 0.13611893513635825, 0.11651245985690549, 0.11155934358923837, 0.27979751454189977]"
eQ91p0tvNP0-17,"[0.007998679841194404, 0.1743759998400202, 0.0425511191040647, 1.6479802917924282e-05, 9.680627081764742e-05, 0.05938085005205314, 0.20479136396663591, 0.2465695898084196, 0.19631956850349316, 0.06789954281038321]"
